ID or #		Start	End	Type	Contig
==================================================
Tb10.v4.0183		58394	61764	partial	NODE_7809_length_601_cov_14.637405:112-1,NODE_3968_length_1245_cov_8.195205:1245-809,NODE_4986_length_976_cov_6.652948:518-163,NODE_8096_length_582_cov_11.980198:1-582,NODE_361_length_13171_cov_6.363678:13171-13042,NODE_361_length_13171_cov_6.363678:13041-12759,NODE_3237_length_1605_cov_15.803010:1-628,NODE_5145_length_942_cov_4.825434:230-112
Tb10.v4.0183:pseudogenic_transcript		58394	61764	partial	NODE_7809_length_601_cov_14.637405:112-1,NODE_3968_length_1245_cov_8.195205:1245-809,NODE_4986_length_976_cov_6.652948:518-163,NODE_8096_length_582_cov_11.980198:1-582,NODE_361_length_13171_cov_6.363678:13171-13042,NODE_361_length_13171_cov_6.363678:13041-12759,NODE_3237_length_1605_cov_15.803010:1-628,NODE_5145_length_942_cov_4.825434:230-112
exon_Tb10.v4.0183-E1		58394	58423	complete	NODE_7809_length_601_cov_14.637405:112-83
exon_Tb10.v4.0183-E2		58426	58866	partial	NODE_3968_length_1245_cov_8.195205:1244-809
exon_Tb10.v4.0183-E4		59956	61764	partial	NODE_4986_length_976_cov_6.652948:518-163,NODE_8096_length_582_cov_11.980198:1-582,NODE_361_length_13171_cov_6.363678:13171-13042,NODE_361_length_13171_cov_6.363678:13041-12759,NODE_3237_length_1605_cov_15.803010:1-628,NODE_5145_length_942_cov_4.825434:230-112
Tb10.v4.0183:pseudogenic_transcript-p1-CDS1		58394	58423	complete	NODE_7809_length_601_cov_14.637405:112-83
Tb10.v4.0183:pseudogenic_transcript-p1-CDS2		58426	58866	partial	NODE_3968_length_1245_cov_8.195205:1244-809
utr_Tb10.v4.0183:pseudogenic_transcript_1		60139	61764	partial	NODE_4986_length_976_cov_6.652948:489-163,NODE_8096_length_582_cov_11.980198:1-582,NODE_361_length_13171_cov_6.363678:13171-13042,NODE_361_length_13171_cov_6.363678:13041-12759,NODE_3237_length_1605_cov_15.803010:1-628,NODE_5145_length_942_cov_4.825434:230-112
Tb927.8.4470		1324654	1325414	complete	NODE_17_length_161220_cov_11.088574:105044-105804
Tb927.8.4470.2:mRNA		1324654	1325414	complete	NODE_17_length_161220_cov_11.088574:105044-105804
Tb927.8.4470.1:mRNA		1324654	1325332	complete	NODE_17_length_161220_cov_11.088574:105044-105722
exon_Tb927.8.4470-E1		1324654	1325414	complete	NODE_17_length_161220_cov_11.088574:105044-105804
exon_Tb927.8.4470-E2		1324654	1325332	complete	NODE_17_length_161220_cov_11.088574:105044-105722
Tb927.8.4470.2:mRNA-p1-CDS1		1324654	1325367	complete	NODE_17_length_161220_cov_11.088574:105044-105757
Tb927.8.4470.1:mRNA-p1-CDS1		1324654	1325310	complete	NODE_17_length_161220_cov_11.088574:105044-105700
utr_Tb927.8.4470.1:mRNA_1		1325311	1325332	complete	NODE_17_length_161220_cov_11.088574:105701-105722
utr_Tb927.8.4470.2:mRNA_1		1325368	1325414	complete	NODE_17_length_161220_cov_11.088574:105758-105804
Tb927.7.5460		1474444	1475778	complete	NODE_209_length_26507_cov_9.892546:26029-24695
Tb927.7.5460:mRNA		1474444	1475778	complete	NODE_209_length_26507_cov_9.892546:26029-24695
exon_Tb927.7.5460-E1		1474444	1475778	complete	NODE_209_length_26507_cov_9.892546:26029-24695
Tb927.7.5460:mRNA-p1-CDS1		1474719	1475327	complete	NODE_209_length_26507_cov_9.892546:25754-25146
